ID;Denominazione;ASL;Indirizzo;CAP;Comune;Provincia;Telefono;Email;Aperta_Weekend_Festivi;Data_Aggiornamento_Scheda;Dimensione_Scheda;Link_PDF_Ufficiale;Latitudine;Longitudine;Fonte
92;Anagni;ASL Frosinone;Via Onorato Capo, 4 - 03012 Anagni (FR);03012;Anagni;FR;0775/7325259;;Sì;14/07/2026;652KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-4db2491a-8a25-4a8a-a995-92dd6bd5113b.pdf;41.741370450377;13.162919399373;Salute Lazio (salutelazio.it)
93;Pontecorvo;ASL Frosinone;via San Giovanni Battista, 5 - 03037 Pontecorvo (FR);03037;Pontecorvo;FR;077 6769 3031;;Sì;14/07/2026;951KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-a6ff8456-fb46-4055-8bd1-8a5cce39c4ea.pdf;41.459231561675;13.667399966174;Salute Lazio (salutelazio.it)
94;Ceprano;ASL Frosinone;viale regina Margherita, 5 - 03024 Ceprano (FR);03024;Ceprano;FR;0775 8821;;Sì;;;;41.544793;13.518587;Salute Lazio (salutelazio.it)
95;Fiuggi;ASL Frosinone;Piazza Martiri di Nassiriya, 03014 Fiuggi (FR).;03014;Fiuggi;FR;;;Sì;10/08/2026;819KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/68545522509b83ff30526a2a-application-d419bc48-52d9-4b37-b5ec-c23123624f5b.pdf;;;Salute Lazio (salutelazio.it)
96;Ferentino;ASL Frosinone;piazza dell'Ospizio, 1 - 03013 Ferentino (FR);03013;Ferentino;FR;0775 244 653;;Sì;;;;41.690631;13.255682;Salute Lazio (salutelazio.it)
97;Formia;ASL Latina;via Santa Maria La Noce - 04023 Formia (LT) - Te. PUA: 077 177 9001;04023;Formia;LT;;;No;13/04/2026;505KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-d934d4cb-94d4-4405-a0a3-5fcf3c7704ce.pdf;41.262615778607;13.593961925866;Salute Lazio (salutelazio.it)
98;Gaeta;ASL Latina;Salita Cappuccini - 04024 Gaeta (LT);04024;Gaeta;LT;;;No;13/04/2026;926KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-bdf4f992-dece-447d-b562-2ac5aee75b70.pdf;41.22084120683177;13.566988872396596;Salute Lazio (salutelazio.it)
99;Aprilia;ASL Latina;via Giustiniano - 04011 Aprilia (LT);04011;Aprilia;LT;06 928634092 / 06 928634008;;No;22/07/2026;794KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-bda5724f-f696-417b-8e62-6daa58953be6.pdf;41.587410572138;12.650156025066;Salute Lazio (salutelazio.it)
100;Borgo Sabotino;ASL Latina;Strada Foce Verde - 04100 Borgo Sabotino (LT);04100;Borgo Sabotino;LT;;;No;22/07/2026;260KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-ee4fba0b-8234-47d6-af3b-4a4caaba5680.pdf;;;Salute Lazio (salutelazio.it)
101;Cisterna di Latina;ASL Latina;viale Adriatico - Cisterna di Latina (LT);;Cisterna di Latina;LT;06 96025441;puad.distretto1@ausl.latina.it;Sì;22/07/2026;392KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-fa079409-960b-46ca-8265-f2233096ce7b.pdf;41.635315505689;13.783186113674;Salute Lazio (salutelazio.it)
102;Minturno;ASL Latina;viale degli Eroi - 04026 Minturno (LT);04026;Minturno;LT;077 177 9001;cdcminturno@ausl.latina.it;Sì;22/07/2026;516KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-a9cdcaa0-d1f4-45de-834b-7fc252ee2242.pdf;41.262356061518;13.742759061945;Salute Lazio (salutelazio.it)
103;Circeo;ASL Latina;via Raffaele Risaliti - 04017 San Felice Circeo (LT);04017;San Felice Circeo;LT;;;No;22/07/2026;581KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-6722d6de-7285-4523-af63-0ca4d5e249d3.pdf;41.2451913;13.0762914;Salute Lazio (salutelazio.it)
104;Santi Cosma e Damiano;ASL Latina;via Risorgimento - 04020 Santi Cosma e Damiano (LT);04020;Santi Cosma e Damiano;LT;0771 606 8370;;Sì;22/07/2026;985KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-13b3df50-3008-4db9-93e1-9b16f96e3a0e.pdf;;;Salute Lazio (salutelazio.it)
105;Sezze;ASL Latina;via San Bartolomeo - 04010 Sezze (LT);04010;Sezze;LT;0773 801 642;;Sì;22/07/2026;934KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-60f2c947-5cca-4605-9919-b8934364793a.pdf;41.499723;13.062315;Salute Lazio (salutelazio.it)
106;Sperlonga;ASL Latina;via Roma - 04029 Sperlonga (LT);04029;Sperlonga;LT;;;Sì;22/07/2026;985KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-2f229762-2bf6-4265-bd71-c5f5582650dd.pdf;;;Salute Lazio (salutelazio.it)
107;Terracina;ASL Latina;via San Francesco - 04019 Terracina (LT);04019;Terracina;LT;0773 505 980;;Sì;22/07/2026;985KB;https://minio-vra-prod.servicelazio.it/fse-prod-001-bucket/6867804d509b83ff304fc5f7-application-c222e66c-7842-4604-8e4d-72b097121694.pdf;;;Salute Lazio (salutelazio.it)
